smiles,neg_log2_mic
C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,4.321928094887363
CCCCCCCCCCCC(=O)NC(CCCCN)CN1CC(=O)N(c2cccc(Cl)c2)C1=O,-0.0
O=c1oc2c(Br)cc(Br)cc2cc1-c1nc2ccccc2c2nc3ccccc3n12,-3.9068905956085187
OC1CN=C(c2ccc3cc(-c4ccc(-c5cc6ccc(C7=NCC(O)CN7)cc6o5)cn4)[nH]c3c2)NC1,0.6665762662748083
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(Cc4ccc(CN)cc4)C3)C(C)C12,5.321928094887363
OCc1ccc(Oc2cccc(F)n2)c(O)c1,-5.0
S=c1[nH]nc(-c2cccc(-c3ccccc3)c2)n1N=Cc1ccc(OCc2ccccc2)cc1,-3.0
CN1CCC2CN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(O)cc3)CC21,4.321928094887363
CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,3.321928094887362
Cc1ccc(-c2nnc(S)n2N=Cc2c[nH]nc2-c2ccc(Cl)cc2Cl)cn1,-1.6438561897747246
COc1c(N2CCN(CCC(C)=NO)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-4.0
CCCCCn1cc(C=C(C#N)S(=O)(=O)c2ccc(N)cc2)c2ccccc21,-3.0
CCC(CN)=C1CN(c2nc(Sc3ccc(Br)cn3)nc3[nH]c4c(NC)cc(F)cc4c23)C1,-0.0
Nc1nc2ccc(Oc3ccc4nc(N)sc4c3)cc2s1,-5.0
COc1ccc2ncc(F)c(CC(=NO)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,-1.0
O=c1oc2ccccc2c(O)c1C(c1c(O)c2ccccc2oc1=O)c1coc2ccccc2c1=O,-4.643856189774724
Nc1ccc(C#CC#Cc2ccc(C(=O)NC(C(=O)NO)C(O)c3ccc(O)cc3)cc2)cc1,8.380821783940931
